titulo,texto
Cérebro,"{'Noun': ['that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord', 'mental ability', ""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'someone who has exceptional intellectual ability and originality', 'the brain of certain animals used as meat'], 'Verb': ['hit on the head', ""kill by smashing someone's skull""]}"
Cérvix,"{'Noun': ['the part of an organism (human or animal', 'necklike opening to the uterus']}"
Cílios,{'Noun': ['any of the short curved hairs that grow from the edges of the eyelids']}
Cintura,"{'Noun': ['the narrowing of the body between the ribs and hips', 'the narrow part of the shoe connecting the heel and the wide part of the sole']}"
Clítoris,{'Noun': ['a female sexual organ homologous to the penis']}
Cóclea,{'Noun': ['the snail-shaped tube (in the inner ear coiled around the modiolus']}
Cólon,"{'Noun': ['the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted', 'the basic unit of money in El Salvador; equal to 100 centavos', 'the basic unit of money in Costa Rica; equal to 100 centimos', 'a port city at the Caribbean entrance to the Panama Canal', 'a punctuation mark (:', 'or after the salutation of a business letter']}"
Coração,"{'Noun': ['the locus of feelings and intuitions', 'the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body', 'the courage to carry on', 'an area that is approximately central within some larger region', 'the choicest or most essential or most vital part of some idea or experience', 'an inclination or tendency of a certain kind', 'a plane figure with rounded sides curving inward at the top and intersecting at the bottom; conventionally used on playing cards and valentines', 'a firm rather dry variety meat (usually beef or veal', 'a positive feeling of liking', 'a playing card in the major suit that has one or more red hearts on it']}"
Córnea,{'Noun': ['the transparent dome-shaped anterior portion of the outer covering of the eye; it covers the iris and pupil and is continuous with the sclera']}
Córtex,"{'Noun': ['the layer of unmyelinated neurons (the grey matter', 'the tissue forming the outer layer of an organ or structure in plant or animal', 'the tissue that surrounds the lens nucleus']}"
Costas,"{'Noun': ['the posterior part of a human (or animal', 'the side that goes last or is not normally seen', 'the part of something that is furthest from the normal viewer', '(football', 'the series of vertebrae forming the axis of the skeleton and protecting the spinal cord', 'the protective covering on the front, back, and spine of a book', 'the part of a garment that covers the back of your body', 'a support that you can lean against while sitting', '(American football'], 'Verb': ['be behind; approve of', 'travel backward', ""give support or one's approval to"", 'cause to travel backward', 'support financial backing for', 'be in back of', 'place a bet on', 'shift to a counterclockwise direction', 'establish as valid or genuine', 'strengthen by providing with a back or backing'], 'Adjective': ['related to or located at the back', 'located at or near the back of an animal', 'or hind', 'of an earlier date'], 'Adverb': ['in or to or toward a former location', 'at or to or toward the back or rear', 'in or to or toward an original condition', 'in or to or toward a past time', 'in reply', 'in repayment or retaliation']}"
Cotovelo,"{'Noun': ['hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped', 'a sharp bend in a road or river', 'a length of pipe with a sharp bend in it', 'the part of a sleeve that covers the elbow joint', 'the joint of a mammal or bird that corresponds to the human elbow'], 'Verb': [""push one's way with the elbows"", ""shove one's elbow into another person's ribs""]}"
Coxa,"{'Noun': ['the part of the leg between the hip and the knee', 'the upper joint of the leg of a fowl']}"
Dedos,"{'Noun': ['any of the terminal members of the hand (sometimes excepting the thumb', 'the length of breadth of a finger used as a linear measure', 'one of the parts of a glove that provides covering for a finger or thumb'], 'Verb': ['feel or handle with the fingers', 'examine by touch', 'search for on the computer', 'indicate the fingering for the playing of musical scores for keyboard instruments']}"
Dentes,"{'Noun': ['the kind and number and arrangement of teeth (collectively', 'hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense', 'something resembling the tooth of an animal', 'toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell', 'a means of enforcement', 'one of a number of uniform projections on a gear']}"
Caninos,"{'Noun': ['one of the four pointed conical teeth (two in each jaw', 'any of various fissiped mammals with nonretractile claws and typically long muzzles']}"
Incisivos,{'Noun': ['a tooth for cutting or gnawing; located in the front of the mouth in both jaws']}
Molares,{'Noun': ['grinding tooth with a broad crown; located behind the premolars']}
Derme,{'Noun': ['the deep vascular inner layer of the skin']}
Dorsal,"{'Adjective': ['belonging to or on or near the back or upper surface of an animal or organ or part', 'facing away from the axis of an organ or organism']}"
Ducto,"{'Noun': ['a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance', 'a continuous tube formed by a row of elongated cells lacking intervening end walls', 'an enclosed conduit for a fluid']}"
Duodeno,{'Noun': ['the part of the small intestine between the stomach and the jejunum']}
Embrião,"{'Noun': ['(botany', 'an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life']}"
Endocárdio,{'Noun': ['the membrane that lines the cavities of the heart and forms part of the heart valves']}
Endométrio,"{'Noun': ['(pregnancy', 'if pregnancy does not occur']}"
Esfíncter,{'Noun': ['a ring of muscle that contracts to close an opening']}
Esclera,{'Noun': ['the whitish fibrous membrane (albuginea']}
Espermatozóide,{'Noun': ['the male reproductive cell; the male gamete']}
Esqueleto,"{'Noun': ['something reduced to its minimal form', 'a scandal that is kept secret', 'the hard structure (bones and cartilages', 'the internal supporting structure that gives an artifact its shape']}"
Esterno,{'Noun': ['the flat bone that articulates with the clavicles and the first seven pairs of ribs']}
Estômago,"{'Noun': ['an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion', 'the region of the body of a vertebrate between the thorax and the pelvis', 'an inclination or liking for things involving conflict or difficulty or unpleasantness', 'an appetite for food'], 'Verb': ['bear to eat', 'put up with something or somebody unpleasant']}"
Esófago,{'Noun': ['the passage between the pharynx and the stomach']}
Epiderme,{'Noun': ['the outer layer of the skin covering the exterior body surface of vertebrates']}
Epidídimo,{'Noun': ['a convoluted tubule in each testis; carries sperm to vas deferens']}
Epiglote,{'Noun': ['a flap of cartilage that covers the windpipe while swallowing']}
Falanges,"{'Noun': ['any of the bones of the fingers or toes', 'any closely ranked crowd of people', 'a body of troops in close array']}"
Metacarpo,"{'Noun': ['any bone of the hand between the wrist and fingers'], 'Adjective': ['of or relating to the metacarpus']}"
Carpo,{'Noun': ['a joint between the distal end of the radius and the proximal row of carpal bones']}
Face,"{'Noun': ['the front of the human head from the forehead to the chin and ear to ear', ""the feelings expressed on a person's face"", 'the general outward appearance of something', 'the striking or working surface of an implement', 'a part of a person that is used to refer to a person', 'a surface forming part of the outside of an object', 'the part of an animal corresponding to the human face', 'the side upon which the use of a thing depends (usually the most prominent surface of an object', 'a contorted facial expression', 'a specific size and style of type within a type family', 'status in the eyes of others', 'impudent aggressiveness', 'a vertical surface of a building or cliff'], 'Verb': ['deal with (something unpleasant', 'oppose, as in hostility or a competition', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'be opposite', 'turn so as to face; turn the face in a certain direction', 'present somebody with something, usually to accuse or criticize', 'turn so as to expose the face', 'line the edge (of a garment', 'cover the front or surface of']}"
Faringe,{'Noun': ['the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone']}
Fêmures,{'Noun': ['the longest and thickest bone of the human skeleton; extends from the pelvis to the knee']}
Fígado,"{'Noun': ['large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes', 'liver of an animal used as meat', 'a person who has a special life style', 'someone who lives in a place'], 'Adjective': ['having a reddish-brown color']}"
Fóvea,{'Noun': ['area consisting of a small depression in the retina containing cones and where vision is most acute']}
Fur,"{'Noun': ['the dressed hairy coat of a mammal', 'dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel', 'a garment made of animal pelts or synthetic fur']}"
Garganta,"{'Noun': ['the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone', 'an opening in the vamp of a shoe at the instep', 'a passage resembling a throat in shape or function', ""the part of an animal's body that corresponds to a person's throat""]}"
Gengivas,"{'Noun': ['a preparation (usually made of sweetened chicle', 'the tissue (covered by mucous membrane', 'any of various substances (soluble in water', 'cement consisting of a sticky substance that is used as an adhesive', 'wood or lumber from any of various gum trees especially the sweet gum', 'any of various trees of the genera Eucalyptus or Liquidambar or Nyssa that are sources of gum'], 'Verb': ['cover, fill, fix or smear with or as if with gum', 'grind with the gums; chew without teeth and with great difficulty', 'become sticky', 'exude or form gum']}"
Glabela,{'Noun': ['a smooth prominence of the frontal bone between and above the eyebrows; the most forward projecting point of the forehead in the midline at the level of the supraorbital ridges']}
Glande,{'Noun': ['a small rounded structure; especially that at the end of the penis or clitoris']}
Glote,{'Noun': ['the vocal apparatus of the larynx; the true vocal folds and the space between them where the voice tone is generated']}
Glândulas,{'Noun': ['any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream']}
Gordura,"{'Noun': ['a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides', 'a kind of body tissue containing stored fat that serves as a source of energy; it also cushions and insulates vital organs', 'excess bodily weight'], 'Verb': ['make fat or plump'], 'Adjective': ['having an (over', 'having a relatively large diameter', 'containing or composed of fat', 'lucrative', 'marked by great fruitfulness']}"
Hemoglobina,{'Noun': ['a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues']}
Hímen,"{'Noun': ['(Greek mythology', 'a fold of tissue that partly covers the entrance to the vagina of a virgin']}"
Hipocampo,"{'Noun': ['a complex neural structure (shaped like a sea horse', 'seahorses']}"
Hipoderme,{'Noun': ['layer of cells that secretes the chitinous cuticle in e.g. arthropods']}
Hipófise,{'Noun': ['the master gland of the endocrine system; located at the base of the brain']}
Hipotálamo,{'Noun': ['a basal part of the diencephalon governing autonomic nervous system']}
Íleo,{'Noun': ['the part of the small intestine between the jejunum and the cecum']}
Infecção,"{'Noun': ['the pathological state resulting from the invasion of the body by pathogenic microorganisms', '(phonetics', '(medicine', 'an incident in which an infectious disease is transmitted', 'the communication of an attitude or emotional state among a number of people', 'moral corruption or contamination', '(international law']}"
Intestino,{'Noun': ['the part of the alimentary canal between the stomach and the anus']}
Íris,"{'Noun': ['plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals', 'muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye; it forms the colored portion of the eye', 'diaphragm consisting of thin overlapping plates that can be adjusted to change the diameter of a central opening']}"
Jejuno,{'Noun': ['the part of the small intestine between the duodenum and the ileum']}
Joelho,"{'Noun': ['hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella', 'joint between the femur and tibia in a quadruped; corresponds to the human knee', 'the part of a trouser leg that provides the cloth covering for the knee']}"
Lábios,"{'Noun': ['either of two fleshy folds of tissue that surround the mouth and play a role in speaking', '(botany', 'an impudent or insolent rejoinder', 'the top edge of a vessel or other container', ""either the outer margin or the inner margin of the aperture of a gastropod's shell""]}"
Laringe,{'Noun': ['a cartilaginous structure at the top of the trachea; contains elastic vocal cords that are the source of the vocal tone in speech']}
Laringofaringe,{'Noun': ['the lower part of the pharynx']}
Leucócitos,"{'Noun': [""blood cells that engulf and digest bacteria and fungi; an important part of the body's defense system""]}"
Ligamentos,"{'Noun': ['a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs', 'any connection or unifying bond']}"
Lipoma,{'Noun': ['a tumor consisting of fatty tissue']}
Mamas ,"{'Noun': ['the front of the trunk from the neck to the abdomen', 'either of two soft fleshy milk-secreting glandular organs on the chest of a woman', 'meat carved from the breast of a fowl', ""the part of an animal's body that corresponds to a person's chest""], 'Verb': ['meet at breast level', 'reach the summit (of a mountain', 'confront bodily']}"
Mamilos,"{'Noun': ['the small projection of a mammary gland', ""a flexible cap on a baby's feeding bottle or pacifier""]}"
Mandíbula,"{'Noun': ['the part of the skull of a vertebrate that frames the mouth and holds the teeth', 'the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth', 'holding device consisting of one or both of the opposing parts of a tool that close to hold an object'], 'Verb': ['talk socially without exchanging too much information', 'talk incessantly and tiresomely', 'chew (food', 'censure severely or angrily']}"
Maxilar,"{'Noun': ['the part of the skull of a vertebrate that frames the mouth and holds the teeth', 'the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth', 'holding device consisting of one or both of the opposing parts of a tool that close to hold an object'], 'Verb': ['talk socially without exchanging too much information', 'talk incessantly and tiresomely', 'chew (food', 'censure severely or angrily']}"
Mãos,"{'Noun': ['the (prehensile', 'a hired laborer on a farm or ranch', 'something written by hand', 'ability', 'a position given by its location to the side of an object', 'the cards held in a card game by a given player at any given time', 'one of two sides of an issue', 'a rotating pointer on the face of a timepiece', 'a unit of length equal to 4 inches; used in measuring horses', 'a member of the crew of a ship', 'a card player in a game of bridge', 'a round of applause to signify approval', 'terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos', 'physical assistance', ""(with `in'"", 'the force of workers available'], 'Verb': ['place into the hands or custody of', 'guide or conduct or usher somewhere']}"
Medula,"{'Noun': ['the fatty network of connective tissue that fills the cavities of bones', 'any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh', 'very tender and very nutritious tissue from marrowbones', 'large elongated squash with creamy to deep green skins', 'the choicest or most essential or most vital part of some idea or experience']}"
Meninge,{'Noun': ['a membrane (one of 3']}
Membrana,"{'Noun': ['a thin pliable sheet of material', 'a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants']}"
Mesentério,{'Noun': ['a double layer of peritoneum that attaches to the back wall of the abdominal cavity and supports the small intestines']}
Vilosidades,{'Noun': ['a minute hairlike projection on mucous membrane']}
Miocárdio,{'Noun': ['the middle muscular layer of the heart wall']}
Músculos,"{'Noun': ['one of the contractile organs of the body', 'animal tissue consisting predominantly of contractile cells', 'a bully employed as a thug or bodyguard', 'authority or power or force (especially when used in a coercive way', 'possessing muscular strength'], 'Verb': [""make one's way by force""]}"
Nádegas,"{'Noun': ['either of the two large fleshy masses of muscular tissue that form the human rump', 'the fleshy part of the human body that you sit on']}"
Narinas,{'Noun': ['either one of the two external openings to the nasal cavity in the nose']}
Nariz,"{'Noun': ['the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals', 'a front that resembles a human nose (especially the front of an aircraft', 'the front or forward projection of a tool or weapon', 'a small distance', 'a symbol of inquisitiveness', 'the sense of smell (especially in animals', 'a natural skill', 'a projecting spout from which a fluid is discharged'], 'Verb': ['search or inquire in a meddlesome way', 'advance the forward part of with caution', 'catch the scent of; get wind of', 'push or move with the nose', 'rub noses', 'defeat by a narrow margin']}"
Nasofaringe,{'Noun': ['cavity forming the upper part of the pharynx']}
Nefrónio,{'Noun': ['any of the small tubules that are the excretory units of the vertebrate kidney']}
Nervos,"{'Noun': ['any bundle of nerve fibers running to various organs and tissues of the body', 'the courage to carry on', 'impudent aggressiveness', 'an uneasy psychological state', 'control of your emotions'], 'Verb': ['get ready for something difficult or unpleasant']}"
Nuca,{'Noun': ['the back side of the neck']}
Olhos,"{'Noun': ['the organ of sight', 'good discernment (either visually or as if visually', 'attention to what is seen', 'an area that is approximately central within some larger region', 'a small hole or loop (as in a needle', 'opinion or judgment'], 'Verb': ['look at']}"
Ombros,"{'Noun': ['the part of the body between the neck and the upper arm', 'a cut of meat including the upper joint of the foreleg', 'a ball-and-socket joint between the head of the humerus and a cavity of the scapula', 'the part of a garment that covers or fits over the shoulder', 'a narrow edge of land (usually unpaved'], 'Verb': [""lift onto one's shoulders"", 'push with the shoulders', 'carry a burden, either real or metaphoric']}"
Orelhas,"{'Noun': ['the sense organ for hearing and equilibrium', 'good hearing', 'the externally visible cartilaginous structure of the external ear', 'attention to what is said', 'fruiting spike of a cereal plant especially corn']}"
Orofaringe,{'Noun': ['cavity formed by the pharynx at the back of the mouth']}
Ossos,"{'Noun': ['rigid connective tissue that makes up the skeleton of vertebrates', 'the porous calcified substance from which bones are made', 'a shade of white the color of bleached bones', '(used in the plural', 'usually held between the thumb and fingers', 'as by Spanish dancers'], 'Verb': ['study intensively, as before an exam', 'remove the bones from']}"
Óvulo,{'Noun': ['the female reproductive cell; the female gamete']}
Palato,{'Noun': ['the upper surface of the mouth that separates the oral and nasal cavities']}
Pálpebras,{'Noun': ['either of two folds of skin that can be moved to cover or open the eye']}
Pâncreas,{'Noun': ['a large elongated exocrine gland located behind the stomach; secretes pancreatic juice and insulin']}
Panturrilha,"{'Noun': ['young of domestic cattle', 'the muscular back part of the shank', 'fine leather from the skin of a calf', 'young of various large placental mammals e.g. whale or giraffe or elephant or buffalo']}"
Peito,"{'Noun': ['the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates', 'box with a lid; used for storage; usually large and sturdy', 'the front of the trunk from the neck to the abdomen', 'furniture with drawers for keeping clothes']}"
Pele,"{'Noun': ['a natural protective body covering and site of the sense of touch', 'an outer surface (usually thin', 'body covering of a living animal', ""a person's skin regarded as their life"", 'a member of any of several British or American groups consisting predominantly of young people who shave their heads; some engage in white supremacist and anti-immigrant activities and this leads to the perception that all skinheads are racist and violent', 'a person whose head is bald or shaved', 'the rind of a fruit or vegetable', 'a bag serving as a container for liquids; it is made from the hide of an animal'], 'Verb': ['climb awkwardly, as if by scrambling', 'bruise, cut, or injure the skin or the surface of', 'remove the bark of a tree', 'strip the skin off']}"
Pênis,"{'Noun': [""the male sex organ (`member' is a euphemism""]}"
Pericárdio,{'Noun': ['a serous membrane with two layers that surrounds the heart']}
Períneo,{'Noun': ['the general region between the anus and the genital organs']}
Periósteo,{'Noun': ['a dense fibrous membrane covering the surface of bones (except at their extremities']}
Pernas,"{'Noun': ['a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle', 'a structure in animals that is similar to a human leg and used for locomotion', 'one of the supports for a piece of furniture', 'a part of a forked or branching shape', 'the limb of an animal used for food', 'a prosthesis that replaces a missing leg', ""a cloth covering consisting of the part of a pair of trousers that covers a person's leg"", '(nautical', 'a section or portion of a journey or course', 'staying power']}"
Pés,"{'Noun': ['the part of the leg of a human being below the ankle joint', 'a linear unit of length equal to 12 inches or a third of a yard', 'the lower part of anything', 'the pedal extremity of vertebrates other than human beings', 'lowest support of a structure', 'any of various organs of locomotion or attachment in invertebrates', 'travel by walking', 'a member of a surveillance team who works on foot or rides as a passenger', 'an army unit consisting of soldiers who fight on foot', '(prosody', 'a support resembling a pedal extremity']}"
Pestanas,{'Noun': ['any of the short curved hairs that grow from the edges of the eyelids']}
Piloro,{'Noun': ['a small circular opening between the stomach and the duodenum']}
Pituitária,"{'Noun': ['the master gland of the endocrine system; located at the base of the brain'], 'Adjective': ['of or relating to the pituitary gland']}"
Placentas,"{'Noun': ['that part of the ovary of a flowering plant where the ovules form', 'the vascular structure in the uterus of most mammals providing oxygen and nutrients for and transferring wastes from the developing fetus']}"
Pleura,{'Noun': ['the thin serous membrane around the lungs and inner walls of the chest']}
Prepúcio,"{'Noun': ['a fold of skin covering the tip of the clitoris', 'a fold of skin covering the tip of the penis']}"
Próstata,"{'Noun': ['a firm partly muscular chestnut sized gland in males at the neck of the urethra; produces a viscid secretion that is the fluid part of semen'], 'Adjective': ['relating to the prostate gland']}"
Pulmões,{'Noun': ['either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood']}
Pulso,"{'Noun': ['(electronics', 'or a series of such transients', 'the rhythmic contraction and expansion of the arteries with each beat of the heart', ""the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health"", 'edible seeds of various pod-bearing plants (peas or beans or lentils etc.'], 'Verb': ['expand and contract rhythmically; beat rhythmically', 'produce or modulate (as electromagnetic waves', 'drive by or as if by pulsation']}"
Pupilas,"{'Noun': ['a learner who is enrolled in an educational institution', 'the contractile aperture in the center of the iris of the eye; resembles a large black dot', 'a young person attending school (up through senior high school']}"
Quadril,"{'Noun': ['either side of the body below the waist and above the thigh', 'the structure of the vertebrate skeleton supporting the lower limbs in humans and the hind limbs or corresponding parts in other vertebrates', 'the ball-and-socket joint between the head of the femur and the acetabulum', '(architecture', 'the fruit of a rose plant'], 'Adjective': ['informed about the latest trends']}"
Retinas,{'Noun': ['the innermost light-sensitive membrane covering the back wall of the eyeball; it is continuous with the optic nerve']}
Rins,{'Noun': ['either of two bean-shaped excretory organs that filter wastes (especially urea']}
